numero_de_trabajador,distrito,neto_catorcenal_sin_deducciones,complemento_salario_catorcenal,sueldo_diario,amortizacion_infonavit,fonacot,apoyo_de_pasajes,apoyo_vist_familiar,estancia,renta,campamento,apoyo_estudios,gasolina,amv,laborados,laborados_imss,sdi_imss,apoyo_salud
2086,Veracruz," $15,866.64 ",," $1,450.00 ",0,0,,,0," $8,000.00 ",0,," $3,600.00 "," $9,000.00 ",30.4,30.4," $1,527.43 ",
2444,Veracruz," $6,000.00 ", $-   , $602.87 ,,, $800.00 ,,," $4,000.00 ",,,,,30.4,30.4, $527.81 ,
0040,Veracruz," $7,000.00 ",, $602.87 ,,,," $1,200.00 ",," $4,200.00 ",,,,,30.4,30.4, $633.43 ,
0088,Veracruz," $4,000.00 ",, $323.37 ,,,,,,,,,,,30.4,30.4, $323.37 ,
2379,Veracruz," $7,000.00 ",, $602.87 ,,,," $1,200.00 ",," $5,000.00 ",,,,,30.4,30.4, $632.60 ,
3135,Veracruz," $7,500.00 ",, $650.02 ,,, $800.00 ,,,,,,,,30.4,30.4, $586.93 ,
2240,Veracruz," $6,500.00 "," $1,500.00 ", $555.72 ," $1,373.25 ",, $-   , $-   ,," $5,000.00 ",,,,,30.4,30.4, $581.92 ,
2422,Veracruz," $7,500.00 ",, $650.02 ,,,,,," $5,000.00 ",,,,,30.4,30.4, $682.97 ,
0086,Veracruz," $6,000.00 ",, $503.00 ,,,,,,,,,,,30.4,30.4, $525.73 ,
2229,Veracruz," $10,500.00 "," $1,000.00 ", $803.12 ,,,,,," $6,000.00 ",,," $2,800.00 ",,30.4,30.4, $965.58 ,
0071,Veracruz," $3,500.00 ",, $279.60 ,,,, $800.00 ,," $3,000.00 ",,,,,30.4,30.4, $293.39 ,
0081,Veracruz," $3,485.00 ",, $248.93 ,,, $800.00 ,,,,,,,,30.4,30.4, $261.21 ,
0068,Veracruz," $3,400.00 ", $600.00 , $271.32 ,,, $800.00 ,,,,,,,,30.4,30.4, $283.58 ,
0078,Veracruz," $3,300.00 ",, $263.03 ,,, $800.00 ,,,,,,,,30.4,30.4, $274.92 ,
0085,Veracruz," $6,000.00 ",, $503.00 ,,,,,,,,,,,30.4,30.4, $525.73 ,
2025,Veracruz," $5,500.00 ",, $461.41 ,,, $800.00 ,,,,,,,,30.4,30.4, $485.43 ,
0073,Veracruz," $3,485.00 ", $200.00 , $248.93 ,,, $800.00 ,,,,,,,,30.4,30.4, $261.21 ,
0079,Veracruz," $3,500.00 ",, $279.60 ,,, $800.00 ,,,,,,,,30.4,30.4, $292.24 ,
2037,Veracruz," $10,000.00 ",, $885.80 ,,,,,,,,," $2,400.00 "," $2,660.00 ",30.4,30.4, $925.83 ,
0070,Veracruz," $5,485.00 ", $-   , $446.08 ,,, $800.00 ,,,,,,,,30.4,30.4, $468.08 ,
0064,Veracruz," $5,500.00 ",, $461.41 ,,,," $2,000.00 ",," $4,200.00 ",,,,,30.4,30.4, $484.80 ,
2077,Veracruz," $6,500.00 ",, $555.72 ,,,,,," $4,200.00 ",,,,,30.4,30.4, $585.41 ,
2407,Veracruz," $6,000.00 ",, $503.00 ,,,," $2,000.00 ",," $4,200.00 ",,,,,30.4,30.4, $528.49 ,
0056,Veracruz," $5,200.00 ",, $433.12 ,,, $800.00 ,,,,,,,,30.4,30.4, $527.81 ,
639,Veracruz," $12,000.00 ",," $1,058.00 ",,,,,," $6,000.00 ",,,,,30.4,30.4," $1,110.18 ",
0074,Veracruz," $3,750.00 ",, $296.95 ,,,, $400.00 ,," $3,000.00 ",,,,,30.4,30.4, $311.59 ,
0054,Veracruz," $7,600.00 ",, $659.45 ,,,,,," $5,000.00 ",,,,,30.4,30.4, $686.66 ,
0026,Veracruz," $3,400.00 ",, $271.32 ,,, $800.00 ,,," $2,000.00 ",," $3,153.00 ",,,30.4,30.4, $283.59 ," $2,000.00 "
0033,Veracruz," $7,000.00 ",, $602.87 ,,, $800.00 ,,,,,,,,30.4,30.4, $634.25 ,
2067,Veracruz," $6,500.00 ",, $555.72 ,,,," $2,000.00 ",," $4,200.00 ",,,,,30.4,30.4, $581.41 ,
0080,Veracruz," $3,485.00 ",, $248.93 ,,, $800.00 ,,,,,,,,30.4,30.4, $434.68 ,
0059,Veracruz," $5,500.00 ", $500.00 , $461.41 ,,, $800.00 ,,," $4,000.00 ",,,,,30.4,30.4, $482.27 ,
2026,Veracruz," $7,000.00 ",, $602.87 ,,,," $3,000.00 ",," $5,000.00 ",,,,,30.4,30.4, $631.77 ,
0087,Veracruz," $5,000.00 "," $1,200.00 ", $414.25 ,,, $800.00 ,,,,,,,,30.4,30.4, $432.97 ,
0069,Veracruz," $5,000.00 ",, $414.25 ,,,,,," $4,200.00 ",,,,,30.4,30.4, $432.97 ,
0060,Veracruz," $5,400.00 ",, $451.98 ,,, $-   ,,,,,," $2,000.00 "," $2,450.00 ",30.4,30.4, $472.41 ,
0077,Veracruz," $4,000.00 ",, $323.37 ,,,,,,,,,,,30.4,30.4, $337.99 ,
0083,Veracruz," $6,000.00 ",, $503.00 ,,,,,,,,,,,30.4,30.4, $525.73 ,
3189,Veracruz," $6,500.00 ",, $555.72 ," $1,059.25 ",,," $2,300.00 ",," $4,200.00 ",,,,,30.4,30.4, $586.17 ,
2214,Veracruz," $9,000.00 ",, $803.03 ," $2,383.56 ",,,,," $6,000.00 ",,,,,30.4,30.4, $848.51 ,
0084,Veracruz," $7,000.00 ",, $602.87 ,,,,,," $4,200.00 ",,,,,30.4,30.4, $630.12 ,
0058,Veracruz," $6,000.00 ",, $503.00 ,,, $800.00 ,,,,,,,,30.4,30.4, $527.81 ,
0053,Veracruz," $6,000.00 ",, $501.90 ," $1,723.30 ",,,,,,,," $2,000.00 "," $2,450.00 ",30.4,30.4, $524.59 ,
0082,Veracruz," $5,000.00 ",, $414.25 ,,, $800.00 ,,,,,,,,30.4,30.4, $434.68 ,
0043,Veracruz," $6,000.00 ",, $503.00 ," $2,310.85 ",,,,," $4,200.00 ",,,,,30.4,30.4, $525.74 ,
2633,Veracruz," $7,000.00 ",, $602.87 ,,, $800.00 ,,," $5,000.00 ",,,,,30.4,30.4, $421.82 ,
0065,Veracruz," $4,500.00 ", $600.00 , $368.31 ,,, $800.00 ,,,,,,,,30.4,30.4, $386.98 ,
